Depth (m),qc (MPa),fs (kPa),Rf (%),u2 (kPa),gamma (kN/m3),M (MN/m2),OCR (-),su (kPa),sampling_name(-)
7.27,0.26655555555555555,8,3.001250521050438,221.55555555555554,13.95,1.472,1.6167763157894737,,Ballina_Inclo 2
7.320000000000001,0.2688888888888889,8,2.975206611570248,221.33333333333334,14.02,2.364,1.9302564102564101,,Ballina_Inclo 2
7.38,0.27322222222222226,8,2.928019520130134,221.66666666666666,14.030000000000001,,,24,Ballina_Inclo 2
7.699999999999999,0.2792222222222222,8.888888889,3.183446080382014,197.88888888888889,14.299999999999999,1.629,1.5873015873015874,,Ballina_Inclo 2
7.75,0.27744444444444444,8.666666666666666,3.1237484981978367,203.22222222222223,14.299999999999999,1.5350000000000001,1.6253716551040633,,Ballina_Inclo 2
7.88,0.2774444444444445,9,3.2438926712054457,217.55555555555554,14.299999999999999,,,22.4,Ballina_Inclo 2
9.089999999999998,0.3428888888888889,10,2.916396629941672,266.8888888888889,13.968,1.606,1.6155639232562307,,Ballina_Inclo 2
9.139999999999999,0.3430000000000001,10,2.915451895043731,266.22222222222223,14.048,1.994,1.689278682656166,,Ballina_Inclo 2
9.49,0.31577777777777777,15.777777777777779,4.9964813511611545,229.66666666666666,14.692,,,21.3,Ballina_Inclo 2
9.649999999999999,0.34444444444444444,11.555555555555555,3.354838709677419,238.66666666666666,14.504,,,24.7,Ballina_Inclo 2
9.729999999999999,0.3312222222222222,10.222222222222221,3.0862126803086216,249.66666666666666,14.498,2.561,1.812618841832325,,Ballina_Inclo 2
9.759999999999998,0.32877777777777784,10,3.041568097330179,253.22222222222223,14.534,2.35,1.5923941227312015,,Ballina_Inclo 2
10.25,0.337,10.88888888888889,3.231124299373558,280.77777777777777,14.534,0.859,1.2325429272281276,,Ballina_Inclo 2
10.34,0.33433333333333337,11,3.290129611,282.44444444444446,,,,18.7,Ballina_Inclo 2
10.459999999999999,0.3288888888888889,13.444444444444445,4.087837837837838,281.44444444444446,19.151,4.214,1.8116490166414525,,Ballina_Inclo 2
12.05,0.4842222222222223,4.777777777777778,0.9866911427260209,211.88888888888889,20.06,,1.368271954674221,,Ballina_Inclo 2
1.72,0.15722222222222224,8.666666666666666,5.512367491166077,41.666666666666664,,5.5200000000000005,2.5497630331753554,,Ballina_Mex 9 
2.07,0.15433333333333332,6.333333333333333,4.1036717062634995,89.88888888888889,17.78,,,10.5,Ballina_Mex 9 
3.05,0.17255555555555555,7.444444444444445,4.314230521571153,117.88888888888889,15.309999999999999,,,16.2,Ballina_Mex 9
3.1399999999999997,0.18655555555555556,7.111111111111111,3.8117927337701007,126,15.18,,2.3793103448275863,,Ballina_Mex 9
3.55,0.2172222222222222,11.777777777777779,5.421994884910487,72.88888888888889,15.149999999999999,,,10.6,Ballina_Mex 9
5.440000000000001,0.22544444444444448,11.222222222222221,4.977821586988663,175.88888888888889,,2.57,2.2288329519450802,,Ballina_Mex 9
5.53,0.24755555555555558,10.333333333333334,4.174147217235189,132.44444444444446,14.73,,,13.1,Ballina_Mex 9
5.67,0.24666666666666665,9,3.6486486486486487,146.55555555555554,14.43,,,20.2,Ballina_Mex 9
6.51,0.24444444444444446,12.444444444444445,5.090909091,172.22222222222223,,1.587,1.668085106382979,,Ballina_Mex 9
6.7299999999999995,0.25655555555555554,8,3.118233001299264,189.88888888888889,14.57,,,13.8,Ballina_Mex 9
6.87,0.2552222222222222,8.444444444444445,3.3086634740966487,203,14.21,,,20.8,Ballina_Mex 9
7.75,0.27744444444444444,8.666666666666666,3.1237484981978367,203.22222222222223,14.1,,,17.7,Ballina_Mex 9
7.930000000000001,0.2806666666666666,8.666666666666666,3.0878859857482186,223.77777777777777,14.31,,,17,Ballina_Mex 9
8.020000000000001,0.28833333333333333,8,2.7745664739884397,236.44444444444446,14.139999999999999,2.446,2.0340000000000003,,Ballina_Mex 9
9.639999999999999,0.34555555555555556,11.777777777777779,3.408360128617364,237.33333333333334,,3.12,1.8711340206185567,,Ballina_Mex 9
9.729999999999999,0.3312222222222222,10.222222222222221,3.0862126803086216,249.66666666666666,14.96,,,26.3,Ballina_Mex 9
9.870000000000001,0.3098888888888889,10.11111111111111,3.2628182144137687,259.3333333333333,14.05,,,17.5,Ballina_Mex 9
6.87,0.3179,6.16,1.9377162629757785,225.33999999999997,16.46,1.3,1.9417475728155338,,NGTS_Clay_ONSB01
6.87,0.3179,6.16,1.9377162629757785,225.33999999999997,15.92,,,12.8,NGTS_Clay_ONSB01
6.959999999999999,0.31633333333333336,6.633333333333334,2.096944151738672,232.6666666666667,16.11,,,19.5,NGTS_Clay_ONSB01
6.959999999999999,0.31633333333333336,6.633333333333334,2.096944151738672,232.6666666666667,16.04,,,9,NGTS_Clay_ONSB01
10.22,0.422,6.788888888888889,1.6087414428646654,322.4777777777778,17.95,3,1.524390243902439,,NGTS_Clay_ONSB01
10.24,0.4267777777777778,6.833333333333333,1.6011455350169224,321.9555555555556,17.58,,,28.5,NGTS_Clay_ONSB01
10.24,0.4267777777777778,6.833333333333333,1.6011455350169224,321.9555555555556,17.63,,,11.6,NGTS_Clay_ONSB01
12.100000000000001,0.47711111111111104,8.755555555555555,1.835118770377271,363.11111111111114,17.35,,,32.7,NGTS_Clay_ONSB01
12.100000000000001,0.47711111111111104,8.755555555555555,1.835118770377271,363.11111111111114,17.45,,,15.2,NGTS_Clay_ONSB01
12.22,0.49833333333333335,9.477777777777778,1.9018952062430323,367.8777777777778,17.46,3.7,1.596009975062344,,NGTS_Clay_ONSB01
12.22,0.49833333333333335,9.477777777777778,1.9018952062430323,367.8777777777778,17.32,,,23.8,NGTS_Clay_ONSB01
14.100000000000001,0.5406666666666667,8.411111111111111,1.555692560624743,345.5111111111111,15.59,,,43.4,NGTS_Clay_ONSB01
14.14,0.5378888888888889,8.411111111111111,1.5637265027886802,385.2777777777778,15.78,2.9,1.3085106382978724,,NGTS_Clay_ONSB01
14.14,0.5378888888888889,8.411111111111111,1.5637265027886802,385.2777777777778,15.78,,,27.6,NGTS_Clay_ONSB01
14.429999999999998,0.5253,8.23,1.5667237768893967,448.88,16.1,2.3,1.1795407098121087,,NGTS_Clay_ONSB01
14.429999999999998,0.5253,8.23,1.5667237768893967,448.88,15.47,,,29.8,NGTS_Clay_ONSB01
14.520000000000001,0.5183333333333334,8.144444444444444,1.5712754555198283,441.0333333333333,15.66,,,32.3,NGTS_Clay_ONSB01
14.520000000000001,0.5183333333333334,8.144444444444444,1.5712754555198283,441.0333333333333,15.87,,,18.7,NGTS_Clay_ONSB01
14.520000000000001,0.5183333333333334,8.144444444444444,1.5712754555198283,441.0333333333333,15.85,,,43.7,NGTS_Clay_ONSB01
14.82,0.572111111,9.644444444444446,1.6857642260633139,448.70000000000005,16.46,3.8,1.3761467889908259,,NGTS_Clay_ONSB01
14.82,0.572111111,9.644444444444446,1.6857642260633139,448.70000000000005,15.44,,,26.8,NGTS_Clay_ONSB01
14.89,0.5777999999999999,10.309999999999999,1.784354448,453.16,16.16,,,47.2,NGTS_Clay_ONSB01
14.89,0.5777999999999999,10.309999999999999,1.784354448,453.16,15.91,,,20.9,NGTS_Clay_ONSB01
3.1,0.2744444444444445,6.066666666666666,2.210526315789473,154.79444444444445,15.28,,,15.9,NGTS_Clay_ONSB02
3.2299999999999995,0.2784,6.180000000000001,2.219827586206897,161.983,15.58,1.3,1.912751677852349,,NGTS_Clay_ONSB02
4.300000000000001,0.26300000000000007,5.444444444444444,2.0701309674693698,173.2444444444444,15.03,,,16.2,NGTS_Clay_ONSB02
5.199999999999999,0.2625555555555556,4.933333333333334,1.8789674143038508,180.9777777777778,15.32,,,15.7,NGTS_Clay_ONSB02
5.25,0.2632,4.949999999999999,1.8806990881458965,181.71999999999997,16.01,0.7,1.0653753026634383,,NGTS_Clay_ONSB02
9.2,0.3976666666666666,8.122222222222224,2.0424699636770054,288.1111111111111,17.02,,,23.3,NGTS_Clay_ONSB02
10.479999999999999,0.46022222222222225,8.155555555555557,1.7720907774022217,320.41111111111115,17.86,,,16,NGTS_Clay_ONSB03
10.600000000000001,0.44899999999999995,8.355555555555558,1.8609255134867615,321.4555555555556,17.96,,,26.1,NGTS_Clay_ONSB03
12.440000000000001,0.48000000000000004,9.022222222,1.879629629629629,364.83333333333337,17.52,,,22,NGTS_Clay_ONSB03
8.42,0.3672222222222223,6.566666666666666,1.788199697428139,260.0777777777778,16.55,0.7,,,NGTS_Clay_ONSB04
8.52,0.3592222222222222,6.888888888888889,1.917723476647077,267.5222222222222,17.94,,,,NGTS_Clay_ONSB04
9.02,0.38522222222222224,6.833333333333334,1.773867897317566,271.5222222222222,17.9,1.3,1.09375,,NGTS_Clay_ONSB04
9.08,0.3913333333333333,7.833333333333333,2.001703577512777,276.77777777777777,17.75,,,24.1,NGTS_Clay_ONSB04
